name,reason
3PD MARKUP,delivery price markup line item - not a menu item
Fooda Guarantee,offsite platform minimum-revenue fee
Gift Card,stored value - not menu mix
eGift Card,stored value - not menu mix
Foodelicious 2026 Event (5/18/2026) Speaker fee for chef,one-off event fee
Catering Utensils,supplies - not a menu item
Delivery Fee,fee - not a menu item
Premium Options Upcharge,markup line - not a standalone item
Order notes: YES utensils,POS note pollution - zero-price
Order notes: NO utensils,POS note pollution - zero-price
